date,day_of_week,day_number,phase,rank,daily_gross,pct_change_yd,pct_change_lw,theaters,avg_per_theater,cumulative_gross
2025-11-21,Friday,5,Initial Release,1,69117615.0,,,4115,16796.0,69117615.0
2025-11-22,Saturday,6,Initial Release,1,43415440.0,-37.2,,4115,10550.0,112533055.0
2025-11-23,Sunday,7,Initial Release,1,34471585.0,-20.6,,4115,8377.0,147004640.0
2025-11-24,Monday,8,Initial Release,1,14701415.0,-57.4,,4115,3572.0,161706055.0
2025-11-25,Tuesday,9,Initial Release,1,15734865.0,7.0,,4115,3823.0,177440920.0
2025-11-26,Wednesday,10,Initial Release,2,17187285.0,9.2,,4115,4176.0,194628205.0
2025-11-28,Friday,12,Initial Release,2,26107320.0,103.3,-62.2,4115,6344.0,233575600.0
2025-11-29,Saturday,13,Initial Release,2,21675380.0,-17.0,-50.1,4115,5267.0,255250980.0
2025-11-30,Sunday,14,Initial Release,2,13950055.0,-35.6,-59.5,4115,3390.0,269201035.0
2025-12-01,Monday,15,Initial Release,2,2717475.0,-80.5,-81.5,4115,660.0,271918510.0
2025-12-02,Tuesday,16,Initial Release,2,3678035.0,35.3,-76.6,4115,893.0,275596545.0
2025-12-03,Wednesday,17,Initial Release,2,2458755.0,-33.2,-85.7,4115,597.0,278055300.0
2025-12-04,Thursday,18,Initial Release,2,2146360.0,-12.7,-83.3,4115,521.0,280201660.0
2025-12-05,Friday,19,Initial Release,4,4510010.0,110.1,-82.7,3985,1131.0,284711670.0
2025-12-06,Saturday,20,Initial Release,3,7359125.0,63.2,-66.0,3985,1846.0,292070795.0
2025-12-07,Sunday,21,Initial Release,3,5486025.0,-25.5,-60.7,3985,1376.0,297556820.0
2025-12-08,Monday,22,Initial Release,3,1313080.0,-76.1,-51.7,3985,329.0,298869900.0
2025-12-09,Tuesday,23,Initial Release,3,2016290.0,53.6,-45.2,3985,505.0,300886190.0
2025-12-10,Wednesday,24,Initial Release,3,1386695.0,-31.2,-43.6,3985,347.0,302272885.0
2025-12-11,Thursday,25,Initial Release,3,1322410.0,-4.6,-38.4,3985,331.0,303595295.0
2025-12-12,Friday,26,Initial Release,3,2274390.0,72.0,-49.6,3480,653.0,305869685.0
