week_ending,week_number,weekly_gross,diff_gross,avg_ticket,top_ticket,seats_sold,seats_in_theatre,performances,previews,pct_capacity,diff_pct_capacity
2003-10-12,,662666.0,0.0,63.0,100.0,10519,1773,0,6,0.9888,0.0
2003-10-19,,821248.0,158582.0,59.92,100.0,13705,1773,0,8,0.9662,-0.0226
2003-10-26,,732199.0,-89049.0,59.47,100.0,12313,1773,0,7,0.9921,0.0259
2003-11-02,,799286.0,67087.0,63.55,100.0,12577,1773,4,4,0.8867,-0.1054
2003-11-09,,892085.0,92799.0,66.06,100.0,13505,1773,8,0,0.9521,0.0654
2003-11-16,,926289.0,34204.0,66.75,100.0,13878,1773,8,0,0.9784,0.0263
2003-11-23,,886753.0,-39536.0,64.97,100.0,13648,1773,8,0,0.9622,-0.0162
2003-11-30,,1121308.0,234555.0,79.05,100.0,14184,1773,8,0,1.0,0.0378
2003-12-07,,1010245.0,-111063.0,75.83,100.0,13323,1773,8,0,0.9393,-0.0607
2003-12-14,,1023594.0,13349.0,75.72,100.0,13518,1773,8,0,0.953,0.0137
2003-12-21,,1042819.0,19225.0,76.38,100.0,13653,1773,8,0,0.9626,0.0096000000000001
2003-12-28,,1182972.0,140153.0,83.4,100.0,14184,1773,8,0,1.0,0.0374
2004-01-04,,1188937.0,5965.0,83.82,100.0,14184,1773,8,0,1.0,0.0
2004-01-11,,1018069.0,-170868.0,75.07,240.0,13561,1773,8,0,0.9561,-0.0439
2004-01-18,,1013453.0,-4616.0,75.07,240.0,13501,1773,8,0,0.9518,-0.0043
2004-01-25,,1004090.0,-9363.0,74.45,240.0,13487,1773,8,0,0.9509,-0.00090000000000001
2004-02-01,,951831.0,-52259.0,70.03,240.0,13591,1773,8,0,0.9582,0.0073000000000001
2004-02-08,,944793.0,-7038.0,69.11,240.0,13671,1773,8,0,0.9638,0.0055999999999999
2004-02-15,,1001323.0,56530.0,73.36,240.0,13649,1773,8,0,0.9623,-0.0014999999999999
2004-02-22,,1064731.0,63408.0,75.07,240.0,14184,1773,8,0,1.0,0.0377
2004-02-29,,1010324.0,-54407.0,73.32,240.0,13779,1773,8,0,0.9714,-0.0286
2004-03-07,,956417.0,-53907.0,72.62,240.0,13170,1773,8,0,0.9285,-0.0429
2004-03-14,,1064717.0,108300.0,75.06,240.0,14184,1773,8,0,1.0,0.0715
2004-03-21,,1081471.0,16754.0,76.25,240.0,14184,1773,8,0,1.0,0.0
2004-03-28,,1070189.0,-11282.0,75.45,240.0,14184,1773,8,0,1.0,0.0
2004-04-04,,1101014.0,30825.0,77.62,240.0,14184,1773,8,0,1.0,0.0
2004-04-11,,1134594.0,33580.0,79.99,240.0,14184,1773,8,0,1.0,0.0
2004-04-18,,1104830.0,-29764.0,77.89,240.0,14184,1773,8,0,1.0,0.0
2004-04-25,,1082387.0,-22443.0,76.31,240.0,14184,1773,8,0,1.0,0.0
2004-05-02,,1065341.0,-17046.0,75.11,240.0,14184,1773,8,0,1.0,0.0
2004-05-09,,1092029.0,26688.0,77.16,240.0,14153,1773,8,0,0.9978,-0.0022
2004-05-16,,1080711.0,-11318.0,76.19,240.0,14184,1773,8,0,1.0,0.0022
2004-05-23,,1106282.0,25571.0,78.0,240.0,14184,1773,8,0,1.0,0.0
2004-05-30,,1107202.0,920.0,78.06,240.0,14184,1773,8,0,1.0,0.0
2004-06-06,,953935.0,-153267.0,76.86,240.0,12411,1773,7,0,1.0,0.0
2004-06-13,,1270693.0,316758.0,79.63,240.0,15957,1773,9,0,1.0,0.0
2004-06-20,,1124528.0,-146165.0,79.28,240.0,14184,1773,8,0,1.0,0.0
2004-06-27,,1135355.0,10827.0,80.04,240.0,14184,1773,8,0,1.0,0.0
2004-07-04,,1142867.0,7512.0,80.57,240.0,14184,1773,8,0,1.0,0.0
2004-07-11,,1142433.0,-434.0,80.54,240.0,14184,1773,8,0,1.0,0.0
2004-07-18,,1166136.0,23703.0,82.21,240.0,14184,1773,8,0,1.0,0.0
2004-07-25,,1172927.0,6791.0,82.69,240.0,14184,1773,8,0,1.0,0.0
2004-08-01,,1174985.0,2058.0,82.84,240.0,14184,1773,8,0,1.0,0.0
2004-08-08,,1187804.0,12819.0,82.08,240.0,14472,1809,8,0,1.0,0.0
2004-08-15,,1190775.0,2971.0,82.28,240.0,14472,1809,8,0,1.0,0.0
2004-08-22,,1201761.0,10986.0,83.04,240.0,14472,1809,8,0,1.0,0.0
2004-09-05,,1211753.0,9992.0,83.73,240.0,14472,1809,8,0,1.0,0.0
2004-09-12,,1192471.0,-19282.0,82.4,240.0,14472,1809,8,0,1.0,0.0
2004-09-19,,1165487.0,-26984.0,81.87,240.0,14236,1809,8,0,0.9837,-0.0163
2004-09-26,,1172291.0,6804.0,81.0,240.0,14472,1809,8,0,1.0,0.0163
2004-10-03,,1178866.0,6575.0,81.46,240.0,14472,1809,8,0,1.0,0.0
2004-10-10,,1202536.0,23670.0,83.09,240.0,14472,1809,8,0,1.0,0.0
2004-10-17,,1180266.0,-22270.0,81.56,240.0,14472,1809,8,0,1.0,0.0
2004-10-24,,1185795.0,5529.0,81.94,240.0,14472,1809,8,0,1.0,0.0
