week_ending,week_number,broadway_season,status,weekly_gross,diff_gross,avg_ticket,top_ticket,seats_sold,seats_in_theatre,performances,previews,pct_capacity,diff_pct_capacity
2003-10-12,1,2003-04,normal,662666.0,,63.0,100.0,10519.0,1773.0,0.0,6.0,0.9888,
2003-10-19,2,2003-04,normal,821248.0,158582.0,59.92,100.0,13705.0,1773.0,0.0,8.0,0.9662,-0.0226
2003-10-26,3,2003-04,normal,732199.0,-89049.0,59.47,100.0,12313.0,1773.0,0.0,7.0,0.9921,0.0259
2003-11-02,4,2003-04,normal,799286.0,67087.0,63.55,100.0,12577.0,1773.0,4.0,4.0,0.8867,-0.1054
2003-11-09,5,2003-04,normal,892085.0,92799.0,66.06,100.0,13505.0,1773.0,8.0,0.0,0.9521,0.0654
2003-11-16,6,2003-04,normal,926289.0,34204.0,66.75,100.0,13878.0,1773.0,8.0,0.0,0.9784,0.0263
2003-11-23,7,2003-04,normal,886753.0,-39536.0,64.97,100.0,13648.0,1773.0,8.0,0.0,0.9622,-0.0162
2003-11-30,8,2003-04,normal,1121308.0,234555.0,79.05,100.0,14184.0,1773.0,8.0,0.0,1.0,0.0378
2003-12-07,9,2003-04,normal,1010245.0,-111063.0,75.83,100.0,13323.0,1773.0,8.0,0.0,0.9393,-0.0607
2003-12-14,10,2003-04,normal,1023594.0,13349.0,75.72,100.0,13518.0,1773.0,8.0,0.0,0.953,0.0137
2003-12-21,11,2003-04,normal,1042819.0,19225.0,76.38,100.0,13653.0,1773.0,8.0,0.0,0.9626,0.0096000000000001
2003-12-28,12,2003-04,normal,1182972.0,140153.0,83.4,100.0,14184.0,1773.0,8.0,0.0,1.0,0.0374
2004-01-04,13,2003-04,normal,1188937.0,5965.0,83.82,100.0,14184.0,1773.0,8.0,0.0,1.0,0.0
2004-01-11,14,2003-04,normal,1018069.0,-170868.0,75.07,240.0,13561.0,1773.0,8.0,0.0,0.9561,-0.0439
2004-01-18,15,2003-04,normal,1013453.0,-4616.0,75.07,240.0,13501.0,1773.0,8.0,0.0,0.9518,-0.0043
2004-01-25,16,2003-04,normal,1004090.0,-9363.0,74.45,240.0,13487.0,1773.0,8.0,0.0,0.9509,-0.0009
2004-02-01,17,2003-04,normal,951831.0,-52259.0,70.03,240.0,13591.0,1773.0,8.0,0.0,0.9582,0.0073000000000001
2004-02-08,18,2003-04,normal,944793.0,-7038.0,69.11,240.0,13671.0,1773.0,8.0,0.0,0.9638,0.0055999999999999
2004-02-15,19,2003-04,normal,1001323.0,56530.0,73.36,240.0,13649.0,1773.0,8.0,0.0,0.9623,-0.0014999999999999
2004-02-22,20,2003-04,normal,1064731.0,63408.0,75.07,240.0,14184.0,1773.0,8.0,0.0,1.0,0.0377
2004-02-29,21,2003-04,normal,1010324.0,-54407.0,73.32,240.0,13779.0,1773.0,8.0,0.0,0.9714,-0.0286
2004-03-07,22,2003-04,normal,956417.0,-53907.0,72.62,240.0,13170.0,1773.0,8.0,0.0,0.9285,-0.0429
2004-03-14,23,2003-04,normal,1064717.0,108300.0,75.06,240.0,14184.0,1773.0,8.0,0.0,1.0,0.0715
2004-03-21,24,2003-04,normal,1081471.0,16754.0,76.25,240.0,14184.0,1773.0,8.0,0.0,1.0,0.0
2004-03-28,25,2003-04,normal,1070189.0,-11282.0,75.45,240.0,14184.0,1773.0,8.0,0.0,1.0,0.0
2004-04-04,26,2003-04,normal,1101014.0,30825.0,77.62,240.0,14184.0,1773.0,8.0,0.0,1.0,0.0
