date,day_of_week,day_number,rank,daily_gross,pct_change_yd,pct_change_lw,theaters,avg_per_theater,cumulative_gross
2024-11-22,Friday,1,1,46210430.0,,,3888,11885.0,46210430.0
2024-11-23,Saturday,2,1,35492555.0,-23.2,,3888,9128.0,81702985.0
2024-11-24,Sunday,3,1,30805905.0,-13.2,,3888,7923.0,112508890.0
2024-11-25,Monday,4,1,15778135.0,-48.8,,3888,4058.0,128287025.0
2024-11-26,Tuesday,5,1,16638485.0,5.5,,3888,4279.0,144925510.0
2024-11-27,Wednesday,6,2,20310190.0,22.1,,3888,5223.0,165235700.0
2024-11-29,Friday,8,2,31728865.0,89.0,-31.3,3888,8160.0,213750715.0
2024-11-30,Saturday,9,2,29172605.0,-8.1,-17.8,3888,7503.0,242923320.0
2024-12-01,Sunday,10,2,20272345.0,-30.5,-34.2,3888,5214.0,263195665.0
2024-12-02,Monday,11,2,5644340.0,-72.2,-64.2,3888,1451.0,268840005.0
2024-12-03,Tuesday,12,2,6961250.0,23.3,-58.2,3888,1790.0,275801255.0
2024-12-04,Wednesday,13,1,5078535.0,-27.0,-75.0,3888,1306.0,280879790.0
2024-12-05,Thursday,14,1,4779480.0,-5.9,-71.5,3888,1229.0,285659270.0
2024-12-06,Friday,15,2,9517890.0,99.1,-70.0,3885,2449.0,295177160.0
2024-12-07,Saturday,16,2,15087045.0,58.5,-48.3,3885,3883.0,310264205.0
2024-12-08,Sunday,17,2,11843485.0,-21.5,-41.6,3885,3048.0,322107690.0
2024-12-09,Monday,18,1,3349105.0,-71.7,-40.7,3885,862.0,325456795.0
2024-12-10,Tuesday,19,1,4663285.0,39.2,-33.0,3885,1200.0,330120080.0
2024-12-11,Wednesday,20,1,3397490.0,-27.1,-33.1,3885,874.0,333517570.0
2024-12-12,Thursday,21,1,3020870.0,-11.1,-36.8,3885,777.0,336538440.0
2024-12-13,Friday,22,2,5832065.0,93.1,-38.7,3689,1580.0,342370505.0
2024-12-14,Saturday,23,2,9442760.0,61.9,-37.4,3689,2559.0,351813265.0
2024-12-15,Sunday,24,2,7374580.0,-21.9,-37.7,3689,1999.0,359187845.0
2024-12-16,Monday,25,1,2517120.0,-65.9,-24.8,3689,682.0,361704965.0
2024-12-17,Tuesday,26,1,3487530.0,38.6,-25.2,3689,945.0,365192495.0
2024-12-18,Wednesday,27,1,2758720.0,-20.9,-18.8,3689,747.0,367951215.0
2024-12-19,Thursday,28,1,2464660.0,-10.7,-18.4,3689,668.0,370415875.0
2024-12-20,Friday,29,3,3737230.0,51.6,-35.9,3296,1133.0,374153105.0
2024-12-21,Saturday,30,3,5185345.0,38.7,-45.1,3296,1573.0,379338450.0
2024-12-22,Sunday,31,3,5229850.0,0.9,-29.1,3296,1586.0,384568300.0
2024-12-23,Monday,32,3,4675865.0,-10.6,85.8,3296,1418.0,389244165.0
2024-12-24,Tuesday,33,3,3246830.0,-30.6,-6.9,3296,985.0,392490995.0
2024-12-26,Thursday,35,4,6889915.0,27.6,179.5,3177,2168.0,404780535.0
2024-12-27,Friday,36,4,6854105.0,-0.5,83.4,3177,2157.0,411634640.0
2024-12-28,Saturday,37,4,6825985.0,-0.4,31.6,3177,2148.0,418460625.0
2024-12-29,Sunday,38,4,6069770.0,-11.1,16.1,3177,1910.0,424530395.0
2024-12-30,Monday,39,3,4751815.0,-21.7,1.6,3177,1495.0,429282210.0
2025-01-02,Thursday,42,5,2978430.0,-35.7,-56.8,3177,937.0,440551945.0
2025-01-03,Friday,43,5,3354110.0,12.6,-51.1,3287,1020.0,443906055.0
2025-01-04,Saturday,44,5,4131635.0,23.2,-39.5,3287,1256.0,448037690.0
2025-01-05,Sunday,45,5,2497530.0,-39.6,-58.9,3287,759.0,450535220.0
2025-01-06,Monday,46,6,803735.0,-67.8,-83.1,3287,244.0,451338955.0
2025-01-07,Tuesday,47,5,1087805.0,35.3,-70.3,3287,330.0,452426760.0
2025-01-08,Wednesday,48,5,763610.0,-29.8,-83.5,3287,232.0,453190370.0
2025-01-09,Thursday,49,5,709690.0,-7.1,-76.2,3287,215.0,453900060.0
2025-01-10,Friday,50,8,1157365.0,63.1,-65.5,2967,390.0,455057425.0
